codice_fornitore,nome_esolver,nome_pf,voce_id,is_intercompany,is_excluded,exclude_reason,societa_id
146,NINNI S.R.L.,NINNI S.R.L.,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1033,EURO GROUP NETWORK S.R.L.,EURO GROUP NETWORK S.R.L.,,False,True,una_tantum,INTUR
1027,CAFARELLI MASSIMILIANO,CAFARELLI MASSIMILIANO,USCITE_CONSULENZE,False,False,,INTUR
79,PASTICCERIA TRIESTE - S.A.S. DI DE RISO ANNA E C.,PASTICCERIA TRIESTE - S.A.S. DI DE RISO ANNA E C.,USCITE_MATERIE_PRIME,False,False,,INTUR
499,Foraggio S.r.l.,Foraggio Srl,USCITE_MATERIE_PRIME,False,False,,INTUR
52,Aruba S.p.A.,Aruba S.p.A.,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
315,CENTRO SERVICE SNC DI VOCCIA MASSIMO & ANTONIO,CENTRO SERVICE SNC DI VOCCIA MASSIMO & ANTONIO,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
5,SALTUR SRL,SALTUR SRL,USCITE_VARIE_EXT,False,False,,INTUR
369,CREATIVE IDEA S.N.C. DI DE MARTINO DIODATO & C.,Creative Idea Snc,USCITE_MATERIE_PRIME,False,False,,INTUR
497,Locali d Autore SRL,Locali d'autore,USCITE_MATERIE_PRIME,False,False,,INTUR
137,PRIMAVERA SERVIZI S.R.L.,Primavera Servizi Srl,USCITE_MATERIE_PRIME,False,False,,INTUR
993,ALDEN SRL SOCIETA TRA PROFESSIONISTI,ALDEN,USCITE_CONSULENZE,False,False,,INTUR
678,PUNZI PIERLUIGI,Revisore - Punzi,USCITE_CONSULENZE,False,False,,INTUR
1031,Travaglini Armando,Cons. Marketing - Travaglini Armando,USCITE_CONSULENZE,False,False,,INTUR
331,PIN APP EVO SRL,Pin App,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
131,Amalfiweb S.r.l.s.,Amalfi Web,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
91,SPIAGGE SRL,Spiagge,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
