societa_id,voce_id,sotto_voce,tipo,codice_fornitore,cod_conto_pattern,nome_esolver
ORTI,USCITE_MUTUI,Interessi passivi bancari,CATEGORIA,,750101,
ORTI,USCITE_MUTUI,Commissioni su finanziamenti,CATEGORIA,,750111,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_MARKETING
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_MARKETING,Digital Advertising,CATEGORIA,,630401,
ORTI,USCITE_MARKETING,Contenuti Foto e Video,CATEGORIA,,630402,
ORTI,USCITE_MARKETING,Consulenze di Marketing,CATEGORIA,,650604,
ORTI,USCITE_MARKETING,Canoni portali,CATEGORIA,,630301,
ORTI,USCITE_MARKETING,Omaggi,CATEGORIA,,630303,
ORTI,USCITE_MARKETING,Pubblicita inserzioni,CATEGORIA,,630101,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_VARIE — Spese diverse, manutenzioni, veicoli
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_VARIE,Spese alberghi e ristoranti,CATEGORIA,,630109,
ORTI,USCITE_VARIE,Pedaggi autostradali,CATEGORIA,,630115,
ORTI,USCITE_VARIE,Spese di transfer,CATEGORIA,,630190,
ORTI,USCITE_VARIE,Costi e spese diverse,CATEGORIA,,710351,
ORTI,USCITE_VARIE,Sanzioni e multe,CATEGORIA,,710303,
ORTI,USCITE_VARIE,Abbonamenti e pubblicazioni,CATEGORIA,,710311,
ORTI,USCITE_VARIE,Erogazioni liberali,CATEGORIA,,710323,
ORTI,USCITE_VARIE,Spese condominiali,CATEGORIA,,650107,
ORTI,USCITE_VARIE,Canoni locazione immobili,CATEGORIA,,650105,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_VARIE_EXT — Manutenzioni
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_VARIE_EXT,Manutenzione macchinari e attrezzature,CATEGORIA,,571107,
ORTI,USCITE_VARIE_EXT,Manutenzione impianti terzi,CATEGORIA,,571115,
ORTI,USCITE_VARIE_EXT,Manutenzione attrezzature terzi,CATEGORIA,,571117,
ORTI,USCITE_VARIE_EXT,Manutenzione fabbricati,CATEGORIA,,571301,
ORTI,USCITE_VARIE_EXT,Gestione autoveicoli,CATEGORIA,,590317,
ORTI,USCITE_VARIE_EXT,Noleggio veicoli,CATEGORIA,,650305,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_SPESE_BANCARIE
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_SPESE_BANCARIE,Commissioni e spese bancarie,CATEGORIA,,750107,
ORTI,USCITE_SPESE_BANCARIE,Costo bonifici verso altre banche,CATEGORIA,,750191,
ORTI,USCITE_SPESE_BANCARIE,Costi addebito SEPA,CATEGORIA,,750192,
ORTI,USCITE_SPESE_BANCARIE,Canone Remote Banking,CATEGORIA,,750194,
ORTI,USCITE_SPESE_BANCARIE,Imposta di bollo c/c,CATEGORIA,,750197,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_GODIMENTO_BENI — Canoni locazione (voce separata da CANONE_PASSIVO)
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_GODIMENTO_BENI,Fitto Ramo d'Azienda,FORNITORE,264,,PANORAMA COMPANY S.R.L.
ORTI,USCITE_GODIMENTO_BENI,Fitto AR,CATEGORIA,,651101,
ORTI,USCITE_GODIMENTO_BENI,Fitto CVM,CATEGORIA,,651101,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_CANONI — Canoni diversi
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_CANONI,Canoni/spese noleggio veicoli,CATEGORIA,,650305,
ORTI,USCITE_CANONI,Mail e Pec,CATEGORIA,,659009,
# ══════════════════════════════════════════════════════════════════════════════
# ██ INTUR ██ — sotto-voci da PF Excel INTUR
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_SALARI (INTUR)
